"Age","Year","Value","Mode","Data","Source","Model"
11,2014,0.982869379014989,"Bus","Annual survival rate","LTA",NA
12,2014,0.966265060240964,"Bus","Annual survival rate","LTA",NA
13,2014,0.974960876369327,"Bus","Annual survival rate","LTA",NA
14,2014,0.893787575150301,"Bus","Annual survival rate","LTA",NA
15,2014,0.8256735340729,"Bus","Annual survival rate","LTA",NA
16,2014,0.83993399339934,"Bus","Annual survival rate","LTA",NA
17,2014,0.700501253132832,"Bus","Annual survival rate","LTA",NA
18,2014,0.787628865979381,"Bus","Annual survival rate","LTA",NA
19,2014,0.328190743338008,"Bus","Annual survival rate","LTA",NA
1,2015,1,"Bus","Annual survival rate","LTA",NA
2,2015,0.999244142101285,"Bus","Annual survival rate","LTA",NA
3,2015,0.998230088495575,"Bus","Annual survival rate","LTA",NA
4,2015,0.998662207357859,"Bus","Annual survival rate","LTA",NA
5,2015,0.997235023041475,"Bus","Annual survival rate","LTA",NA
6,2015,0.996331621423331,"Bus","Annual survival rate","LTA",NA
7,2015,0.991973244147157,"Bus","Annual survival rate","LTA",NA
8,2015,0.988446726572529,"Bus","Annual survival rate","LTA",NA
9,2015,0.973001038421599,"Bus","Annual survival rate","LTA",NA
10,2015,0.857946554149086,"Bus","Annual survival rate","LTA",NA
11,2015,0.940269749518304,"Bus","Annual survival rate","LTA",NA
12,2015,0.952069716775599,"Bus","Annual survival rate","LTA",NA
13,2015,0.925187032418953,"Bus","Annual survival rate","LTA",NA
14,2015,0.937399678972713,"Bus","Annual survival rate","LTA",NA
15,2015,0.899103139013453,"Bus","Annual survival rate","LTA",NA
16,2015,0.869481765834933,"Bus","Annual survival rate","LTA",NA
17,2015,0.726915520628684,"Bus","Annual survival rate","LTA",NA
18,2015,0.833631484794276,"Bus","Annual survival rate","LTA",NA
19,2015,0.445026178010471,"Bus","Annual survival rate","LTA",NA
1,2016,1,"Bus","Annual survival rate","LTA",NA
2,2016,1,"Bus","Annual survival rate","LTA",NA
3,2016,0.998487140695915,"Bus","Annual survival rate","LTA",NA
4,2016,0.997340425531915,"Bus","Annual survival rate","LTA",NA
5,2016,0.995981245813798,"Bus","Annual survival rate","LTA",NA
6,2016,0.997227356746765,"Bus","Annual survival rate","LTA",NA
7,2016,0.99779086892489,"Bus","Annual survival rate","LTA",NA
8,2016,0.995954146999326,"Bus","Annual survival rate","LTA",NA
9,2016,0.968831168831169,"Bus","Annual survival rate","LTA",NA
10,2016,0.893276414087513,"Bus","Annual survival rate","LTA",NA
11,2016,0.968852459016393,"Bus","Annual survival rate","LTA",NA
12,2016,0.944672131147541,"Bus","Annual survival rate","LTA",NA
13,2016,0.926773455377574,"Bus","Annual survival rate","LTA",NA
14,2016,0.889487870619946,"Bus","Annual survival rate","LTA",NA
15,2016,0.88013698630137,"Bus","Annual survival rate","LTA",NA
16,2016,0.859102244389027,"Bus","Annual survival rate","LTA",NA
17,2016,0.618101545253863,"Bus","Annual survival rate","LTA",NA
18,2016,0.702702702702703,"Bus","Annual survival rate","LTA",NA
19,2016,0.360515021459227,"Bus","Annual survival rate","LTA",NA
1,2017,0.998868778280543,"Bus","Annual survival rate","LTA","min"
2,2017,0.998876404494382,"Bus","Annual survival rate","LTA","min"
3,2017,0.998799519807923,"Bus","Annual survival rate","LTA","min"
4,2017,0.990151515151515,"Bus","Annual survival rate","LTA","min"
5,2017,0.998222222222222,"Bus","Annual survival rate","LTA","min"
6,2017,0.991257565568258,"Bus","Annual survival rate","LTA","min"
7,2017,0.992585727525487,"Bus","Annual survival rate","LTA","min"
8,2017,0.983763837638376,"Bus","Annual survival rate","LTA","min"
9,2017,0.975626269465132,"Bus","Annual survival rate","LTA","min"
10,2017,0.899463806970509,"Bus","Annual survival rate","LTA","min"
11,2017,0.972520908004779,"Bus","Annual survival rate","LTA","min"
12,2017,0.934010152284264,"Bus","Annual survival rate","LTA","min"
13,2017,0.937093275488069,"Bus","Annual survival rate","LTA","min"
14,2017,0.923456790123457,"Bus","Annual survival rate","LTA","min"
15,2017,0.848484848484849,"Bus","Annual survival rate","LTA","min"
16,2017,0.848249027237354,"Bus","Annual survival rate","LTA","min"
17,2017,0.567489114658926,"Bus","Annual survival rate","LTA","min"
18,2017,0.6,"Bus","Annual survival rate","LTA","min"
19,2017,0.319230769230769,"Bus","Annual survival rate","LTA","min"
